"code_tract","mean_age","mode_age","imputed"
"351050005000103",33.7103077121752,"idade_20a29",TRUE
"352040015000010",33.7103077121752,"idade_20a29",TRUE
"352040015000011",33.7103077121752,"idade_20a29",TRUE
"355070410000041",33.7103077121752,"idade_20a29",TRUE
"355070410000042",33.7103077121752,"idade_20a29",TRUE
"355540605000136",33.7103077121752,"idade_20a29",TRUE
"355540610000013",33.7103077121752,"idade_20a29",TRUE
"350010505000001",43.858552631579,"idade_20a29",FALSE
"350010505000002",43.1783439490446,"idade_70",FALSE
"350010505000003",48.631679389313,"idade_70",FALSE
"350010505000004",42.8270440251572,"idade_70",FALSE
"350010505000005",42.9532595325953,"idade_70",FALSE
"350010505000006",41.103229527105,"idade_20a29",FALSE
"350010505000007",40.4297153024911,"idade_40a49",FALSE
"350010505000008",40.0501813784764,"idade_50a59",FALSE
"350010505000009",40.3289007092199,"idade_50a59",FALSE
"350010505000010",35.2414965986395,"idade_40a49",FALSE
"350010505000011",41.3645948945616,"idade_40a49",FALSE
"350010505000012",36.3758389261745,"idade_40a49",FALSE
"350010505000013",40.6470037453183,"idade_20a29",FALSE
"350010505000014",39.2252747252747,"idade_20a29",FALSE
"350010505000015",35.5342019543974,"idade_20a29",FALSE
"350010505000016",29.6857585139319,"idade_20a29",FALSE
"350010505000017",31.3723404255319,"idade_20a29",FALSE
"350010505000018",36.9600290697674,"idade_40a49",FALSE
"350010505000019",37.5817452357071,"idade_20a29",FALSE
"350010505000020",36.8510466988728,"idade_20a29",FALSE
"350010505000021",38.9705882352941,"idade_40a49",FALSE
"350010505000022",37.0669014084507,"idade_40a49",FALSE
"350010505000023",35.3409986859396,"idade_20a29",FALSE
"350010505000024",38.0831809872029,"idade_40a49",FALSE
"350010505000025",37.212833545108,"idade_40a49",FALSE
"350010505000026",38.4668094218415,"idade_30a39",FALSE
"350010505000027",32.3694029850746,"idade_40a49",FALSE
"350010505000028",34.2519267822736,"idade_20a29",FALSE
"350010505000029",32.2154750244858,"idade_30a39",FALSE
"350010505000030",35.789704271632,"idade_30a39",FALSE
"350010505000031",32.9583333333333,"idade_20a29",FALSE
"350010505000032",33.7103077121752,"idade_20a29",TRUE
"350010505000033",29.1871768355739,"idade_30a39",FALSE
"350010505000034",42.6849315068493,"idade_60a69",FALSE
"350010505000035",30.3010835913313,"idade_20a29",FALSE
"350010505000036",40.1386861313869,"idade_20a29",FALSE
"350010505000037",37.3997093023256,"idade_40a49",FALSE
"350010505000038",31.4812680115274,"idade_30a39",FALSE
"350010505000039",31.4684579439252,"idade_30a39",FALSE
"350010505000041",32.7954545454545,"idade_0a9",FALSE
"350010505000042",31.0366972477064,"idade_30a39",FALSE
"350010505000043",40.1617647058824,"idade_50a59",FALSE
"350010505000044",33.2576687116564,"idade_20a29",FALSE
"350010505000045",33.7103077121752,"idade_20a29",TRUE
"350010505000048",32.9375,"idade_30a39",FALSE
"350010505000049",41.6802325581395,"idade_70",FALSE
"350010505000050",41.6544715447154,"idade_50a59",FALSE
"350010505000051",69.9166666666667,"idade_70",FALSE
"350010505000052",40.5538116591928,"idade_50a59",FALSE
"350010505000053",37.8390410958904,"idade_40a49",FALSE
"350010505000054",38.4012096774194,"idade_40a49",FALSE
"350010505000055",37.7251908396947,"idade_40a49",FALSE
"350010505000056",33.7103077121752,"idade_20a29",TRUE
"350010505000057",36.8039215686275,"idade_50a59",FALSE
"350010505000058",37.0728155339806,"idade_40a49",FALSE
"350010505000059",37.0172413793103,"idade_30a39",FALSE
"350010505000060",30.8983050847458,"idade_40a49",FALSE
"350010505000061",35.5123966942149,"idade_30a39",FALSE
"350010505000062",44.1472772277228,"idade_70",FALSE
"350010505000063",45.5475161987041,"idade_70",FALSE
"350010505000066",30.5714285714286,"idade_30a39",FALSE
"350010505000067",34.5425790754258,"idade_30a39",FALSE
"350010505000068",33.7103077121752,"idade_20a29",TRUE
"350010505000069",29.8846153846154,"idade_30a39",FALSE
"350010505000070",33.7103077121752,"idade_20a29",TRUE
"350010505000071",42.8333333333333,"idade_40a49",FALSE
"350010505000073",37.3336221837088,"idade_40a49",FALSE
"350010505000075",33.7103077121752,"idade_20a29",TRUE
"350010505000076",30.75,"idade_20a29",FALSE
"350010505000077",38.8876404494382,"idade_40a49",FALSE
"350010505000078",33.7261904761905,"idade_20a29",FALSE
"350010505000080",33.7103077121752,"idade_20a29",TRUE
"350010505000081",30.0829326923077,"idade_20a29",FALSE
"350010505000083",27.5696202531646,"idade_30a39",FALSE
"350010505000084",43.5909090909091,"idade_40a49",FALSE
"350010505000085",37.2173913043478,"idade_50a59",FALSE
"350020405000001",36.1877637130802,"idade_20a29",FALSE
"350020405000002",36.6392496392496,"idade_20a29",FALSE
"350020405000003",36.0051020408163,"idade_20a29",FALSE
"350020405000004",34.5920598388953,"idade_40a49",FALSE
"350020405000005",39.9444444444444,"idade_40a49",FALSE
"350020405000007",32.4666666666667,"idade_30a39",FALSE
"350020405000008",40.6764705882353,"idade_50a59",FALSE
"350020405000009",37.8720930232558,"idade_40a49",FALSE
"350030305000001",45.6054913294798,"idade_50a59",FALSE
"350030305000002",42.8778625954198,"idade_50a59",FALSE
"350030305000003",38.1131386861314,"idade_20a29",FALSE
"350030305000004",35.6136363636364,"idade_20a29",FALSE
"350030305000005",35.6814159292035,"idade_20a29",FALSE
"350030305000006",38.0747978436658,"idade_20a29",FALSE
"350030305000007",38.0346695557963,"idade_20a29",FALSE
"350030305000008",38.5849875930521,"idade_20a29",FALSE
"350030305000009",33.6206624605678,"idade_20a29",FALSE
"350030305000010",40.2836990595611,"idade_50a59",FALSE
"350030305000011",36.751872659176,"idade_20a29",FALSE
"350030305000012",35.2980599647266,"idade_20a29",FALSE
"350030305000013",40.0106209150327,"idade_70",FALSE
"350030305000014",33.6858237547893,"idade_20a29",FALSE
"350030305000015",33.4623467600701,"idade_20a29",FALSE
"350030305000016",31.7115384615385,"idade_20a29",FALSE
"350030305000017",30.5731707317073,"idade_20a29",FALSE
"350030305000018",35.5243277848912,"idade_30a39",FALSE
"350030305000019",33.018691588785,"idade_20a29",FALSE
"350030305000020",36.0353260869565,"idade_20a29",FALSE
"350030305000021",28.1080711354309,"idade_20a29",FALSE
"350030305000022",32.4127659574468,"idade_20a29",FALSE
"350030305000023",30.6006128702758,"idade_20a29",FALSE
"350030305000024",29.2289719626168,"idade_20a29",FALSE
"350030305000025",34.2013782542113,"idade_20a29",FALSE
"350030305000026",33.1235216819974,"idade_20a29",FALSE
"350030305000027",32.1247645951036,"idade_20a29",FALSE
"350030305000028",31.2137404580153,"idade_20a29",FALSE
"350030305000029",27.8011049723757,"idade_20a29",FALSE
"350030305000030",27.9133271202237,"idade_20a29",FALSE
"350030305000031",42.1799485861183,"idade_70",FALSE
"350030305000032",30.3804347826087,"idade_30a39",FALSE
"350030305000033",29.6709115281501,"idade_30a39",FALSE
"350030305000034",26.9553571428571,"idade_0a9",FALSE
"350030305000035",32.4258241758242,"idade_30a39",FALSE
"350030305000036",27.5797773654916,"idade_20a29",FALSE
"350030305000038",29.0426287744227,"idade_20a29",FALSE
"350030305000039",33.9572748267898,"idade_20a29",FALSE
"350030305000040",31.5967741935484,"idade_30a39",FALSE
"350030305000041",29.0459641255605,"idade_0a9",FALSE
"350030305000042",30.7732558139535,"idade_20a29",FALSE
"350030305000043",31.1947115384615,"idade_20a29",FALSE
"350030305000044",28.9416666666667,"idade_0a9",FALSE
"350030305000045",32.6642066420664,"idade_30a39",FALSE
"350030305000046",33.9346978557505,"idade_20a29",FALSE
"350030305000047",31.6082746478873,"idade_20a29",FALSE
"350030305000048",29.7994428969359,"idade_20a29",FALSE
"350030305000049",28.9251824817518,"idade_20a29",FALSE
"350030305000050",25.7075471698113,"idade_0a9",FALSE
"350030305000051",26.9228395061728,"idade_0a9",FALSE
"350030305000052",21.1188811188811,"idade_0a9",FALSE
"350040205000001",42.0106382978723,"idade_70",FALSE
"350040205000002",36.3860510805501,"idade_30a39",FALSE
"350040205000003",41.5869565217391,"idade_70",FALSE
"350040205000004",44.6844262295082,"idade_70",FALSE
"350040205000005",41.2223382045929,"idade_70",FALSE
"350040205000006",39.3622366288493,"idade_50a59",FALSE
"350040205000007",36.312242090784,"idade_20a29",FALSE
"350040205000008",38.992337164751,"idade_50a59",FALSE
"350040205000010",43.764367816092,"idade_70",FALSE
"350040205000011",33.1554982817869,"idade_40a49",FALSE
"350040205000013",32.9797297297297,"idade_30a39",FALSE
"350040205000014",33.7103077121752,"idade_20a29",TRUE
"350040205000015",33.671974522293,"idade_40a49",FALSE
"350040205000016",31.34375,"idade_0a9",FALSE
"350040205000017",31.5694444444444,"idade_30a39",FALSE
"350040205000018",33.7103077121752,"idade_20a29",TRUE
"350040210000001",35.4734195402299,"idade_20a29",FALSE
"350040210000002",33.4478211009174,"idade_20a29",FALSE
"350040210000003",33.7103077121752,"idade_20a29",TRUE
"350040210000004",33.7103077121752,"idade_20a29",TRUE
"350040210000005",36.2313432835821,"idade_20a29",FALSE
"350050105000001",42.019305019305,"idade_70",FALSE
"350050105000002",42.9144295302013,"idade_70",FALSE
"350050105000003",33.9166666666667,"idade_20a29",FALSE
"350050105000005",35.5954712362301,"idade_30a39",FALSE
"350050105000006",37.301724137931,"idade_30a39",FALSE
"350050105000007",37.0413533834586,"idade_20a29",FALSE
"350050105000008",37.924276169265,"idade_40a49",FALSE
"350050105000009",37.7435597189696,"idade_40a49",FALSE
"350050105000010",35.843085106383,"idade_20a29",FALSE
"350050105000011",41.5012706480305,"idade_20a29",FALSE
"350050105000012",34.0772946859903,"idade_20a29",FALSE
"350050105000013",35.6395348837209,"idade_20a29",FALSE
"350050105000014",31.8179611650485,"idade_20a29",FALSE
"350050105000015",34.6144366197183,"idade_20a29",FALSE
"350050105000016",32.1730103806228,"idade_20a29",FALSE
"350050105000017",32.2287946428571,"idade_20a29",FALSE
"350050105000018",33.2571428571429,"idade_30a39",FALSE
"350050105000019",33.8472348141432,"idade_20a29",FALSE
"350050105000020",31.539627039627,"idade_20a29",FALSE
"350050105000021",34.9166666666667,"idade_20a29",FALSE
"350050105000022",35.9380530973451,"idade_40a49",FALSE
"350050105000024",32.7747148288973,"idade_40a49",FALSE
"350050105000025",35.1311637080868,"idade_30a39",FALSE
"350050105000026",37.6309297912713,"idade_30a39",FALSE
"350050105000027",34.4204545454545,"idade_30a39",FALSE
